title,online_course_organization,free,author_organization,course_type,level,ratings,reviews
The Science of Well-Being,Coursera,Free,Yale University,COURSE,Mixed,4.9,5223
Machine Learning,Coursera,Free,Stanford University,COURSE,Mixed,4.9,131878
Financial Markets,Coursera,Free,Yale University,COURSE,Beginner,4.8,5316
What Is Contemporary Art?,Coursera,Free,The Museum of Modern Art,COURSE,Beginner,4.6,367
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Free,McMaster University,COURSE,Mixed,4.8,54028
"Brand Management: Aligning Business, Brand and Behaviour",Coursera,Free,London Business School,COURSE,Beginner,4.9,825
Writing in the Sciences,Coursera,Free,Stanford University,COURSE,Beginner,4.9,2320
Indigenous Canada,Coursera,Free,University of Alberta,COURSE,Mixed,4.8,1540
Private Equity and Venture Capital,Coursera,Free,UniversitÃ  Bocconi,COURSE,Mixed,4.8,3238
An Introduction to American Law,Coursera,Free,University of Pennsylvania,COURSE,Beginner,4.8,2502
English for Career Development,Coursera,Free,University of Pennsylvania,COURSE,Mixed,4.8,3872
Design and Interpretation of Clinical Trials,Coursera,Free,Johns Hopkins University,COURSE,Mixed,4.7,1964
Introduction to Psychology,Coursera,Free,University of Toronto,COURSE,Mixed,4.9,2775
Learning to Teach Online,Coursera,Free,UNSW Sydney (The University of New South Wales),COURSE,Beginner,4.7,407
Financial Engineering and Risk Management Part I,Coursera,Free,Columbia University,COURSE,Mixed,4.6,1848
In the Studio: Postwar Abstract Painting,Coursera,Free,The Museum of Modern Art,COURSE,Beginner,4.9,695
Vital Signs: Understanding What the Body Is Telling Us,Coursera,Free,University of Pennsylvania,COURSE,Mixed,4.8,2632
International Women's Health and Human Rights,Coursera,Free,Stanford University,COURSE,Beginner,4.9,461
Ãtudier en France: French Intermediate course B1-B2,Coursera,Free,Ãcole Polytechnique,COURSE,Intermediate,4.8,1224
Chinese for Beginners,Coursera,Free,Peking University,COURSE,Mixed,4.7,6485
Medical Neuroscience,Coursera,Free,Duke University,COURSE,Advanced,4.9,1533
Contabilidad para no contadores,Coursera,Free,Universidad Nacional AutÃ³noma de MÃ©xico,COURSE,Beginner,4.7,2817
"Anatomy of the Chest, Abdomen, and Pelvis",Coursera,Free,Yale University,COURSE,Intermediate,4.8,443
Agile with Atlassian Jira,Coursera,Free,Atlassian,COURSE,Beginner,4.7,1459
RevisÃ£o SistemÃ¡tica e Meta-anÃ¡lise,Coursera,Free,Universidade Estadual de Campinas,COURSE,Intermediate,4.8,169
Introduction to Systematic Review and Meta-Analysis,Coursera,Free,Johns Hopkins University,COURSE,Mixed,4.8,1603
Arts and Heritage Management,Coursera,Free,UniversitÃ  Bocconi,COURSE,Mixed,4.8,499
Introduction to Philosophy,Coursera,Free,The University of Edinburgh,COURSE,Mixed,4.6,4288
Cryptography I,Coursera,Free,Stanford University,COURSE,Mixed,4.8,3090
An Introduction to Consumer Neuroscience & Neuromarketing,Coursera,Free,Copenhagen Business School,COURSE,Beginner,4.7,1329
Marketing Gerencial,Coursera,Free,Universidad de Chile,COURSE,Intermediate,4.7,1032
The Manager's Toolkit: A Practical Guide to Managing People at Work,Coursera,Free,University of London,COURSE,Mixed,4.6,928
Introduction to Classical Music,Coursera,Free,Yale University,COURSE,Mixed,4.9,1957
Understanding Clinical Research: Behind the Statistics,Coursera,Free,University of Cape Town,COURSE,Mixed,4.8,1477
Introduction to English Common Law,Coursera,Free,University of London,COURSE,Beginner,4.8,347
NegociaciÃ³n exitosa: Estrategias y habilidades esenciales (en espaÃ±ol),Coursera,Free,University of Michigan,COURSE,Mixed,4.8,1054
Oil & Gas Industry Operations and Markets,Coursera,Free,Duke University,COURSE,Mixed,4.8,2139
Introduction to Mathematical Thinking,Coursera,Free,Stanford University,COURSE,Intermediate,4.8,1726
Learn to Speak Korean 1,Coursera,Free,Yonsei University,COURSE,Beginner,4.9,2130
International Humanitarian Law in Theory and Practice,Coursera,Free,Kalshoven-Gieskes Forum,COURSE,Beginner,4.8,525
Everyday Parenting: The ABCs of Child Rearing,Coursera,Free,Yale University,COURSE,Beginner,4.9,950
Learn to Program: The Fundamentals,Coursera,Free,University of Toronto,COURSE,Beginner,4.8,3559
English for Journalism,Coursera,Free,University of Pennsylvania,COURSE,Mixed,4.8,1423
Claves para Gestionar Personas,Coursera,Free,IESE Business School,COURSE,Mixed,4.8,1060
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Coursera,Free,UniversitÃ  Bocconi,COURSE,Mixed,4.6,181
Supporting children with difficulties in reading and writing,Coursera,Free,UCL Institute of Education,COURSE,Mixed,4.8,722
"The Sustainable Development Goals â A global, transdisciplinary vision for the future",Coursera,Free,University of Copenhagen,COURSE,Beginner,4.8,948
Innovation Management,Coursera,Free,Erasmus University Rotterdam,COURSE,Beginner,4.6,759
Art & Ideas: Teaching with Themes,Coursera,Free,The Museum of Modern Art,COURSE,Mixed,4.8,198
A Law Student's Toolkit,Coursera,Free,Yale University,COURSE,Mixed,4.7,709
Rethinking International Tax Law,Coursera,Free,Universiteit Leiden,COURSE,Mixed,4.9,735
Introduction to Programming with MATLAB,Coursera,Free,Vanderbilt University,COURSE,Beginner,4.8,5486
Essentials of Global Health,Coursera,Free,Yale University,COURSE,Mixed,4.8,404
Art & Activity: Interactive Strategies for Engaging with Art,Coursera,Free,The Museum of Modern Art,COURSE,Mixed,4.8,813
FarmacologÃ­a para odontÃ³logos,Coursera,Free,Universidad Nacional AutÃ³noma de MÃ©xico,COURSE,Mixed,4.7,231
Social Impact Strategy: Tools for Entrepreneurs and Innovators,Coursera,Free,University of Pennsylvania,COURSE,Beginner,4.8,605
Troubles du spectre de l'autisme : diagnostic,Coursera,Free,University of Geneva,COURSE,Intermediate,4.9,108
Python and Statistics for Financial Analysis,Coursera,Free,The Hong Kong University of Science and Technology,COURSE,Intermediate,4.4,871
Introduction to International Criminal Law,Coursera,Free,Case Western Reserve University,COURSE,Mixed,4.8,1284
Introduction to Breast Cancer,Coursera,Free,Yale University,COURSE,Mixed,4.9,551
Fundamentals of Music Theory,Coursera,Free,The University of Edinburgh,COURSE,Beginner,4.6,1030
GeopolÃ­tica y gobernanza global: riesgos y oportunidades,Coursera,Free,ESADE Business and Law School,COURSE,Mixed,4.8,1073
Roman Architecture,Coursera,Free,Yale University,COURSE,Beginner,4.9,215
AtenciÃ³n Primaria en Salud: El desafÃ­o de las Enfermedades no Transmisibles,Coursera,Free,Pontificia Universidad CatÃ³lica de Chile,COURSE,Intermediate,4.8,483
Introduction to User Experience Design,Coursera,Free,Georgia Institute of Technology,COURSE,Beginner,4.5,2041
Biology Meets Programming: Bioinformatics for Beginners,Coursera,Free,University of California San Diego,COURSE,Beginner,4.4,804
The Arts and Science of Relationships: Understanding Human Needs,Coursera,Free,University of Toronto,COURSE,Beginner,4.4,280
Dino 101: Dinosaur Paleobiology,Coursera,Free,University of Alberta,COURSE,Beginner,4.9,1311
Data Science Math Skills,Coursera,Free,Duke University,COURSE,Beginner,4.5,2974
Miracles of Human Language: An Introduction to Linguistics,Coursera,Free,Universiteit Leiden,COURSE,Beginner,4.7,1411
Introduction to Calculus,Coursera,Free,The University of Sydney,COURSE,Intermediate,4.8,613
De-Mystifying Mindfulness,Coursera,Free,Universiteit Leiden,COURSE,Beginner,4.8,983
"Epidemics, Pandemics and Outbreaks",Coursera,Free,University of Pittsburgh,COURSE,Mixed,4.6,702
Fundamental Neuroscience for Neuroimaging,Coursera,Free,Johns Hopkins University,COURSE,Beginner,4.6,759
Leadership in 21st Century Organizations,Coursera,Free,Copenhagen Business School,COURSE,Mixed,4.7,403
DÃ©veloppement psychologique de l'enfant,Coursera,Free,University of Geneva,COURSE,Beginner,4.8,122
Understanding Research Methods,Coursera,Free,University of London,COURSE,Mixed,4.5,2152
Driving business towards the Sustainable Development Goals,Coursera,Free,Erasmus University Rotterdam,COURSE,Beginner,4.8,131
Astronomy: Exploring Time and Space,Coursera,Free,University of Arizona,COURSE,Beginner,4.8,1348
C for Everyone: Programming Fundamentals,Coursera,Free,"University of California, Santa Cruz",COURSE,Beginner,4.4,218
"Information Systems Auditing, Controls and Assurance",Coursera,Free,The Hong Kong University of Science and Technology,COURSE,Beginner,4.7,154
Supply Chain Analytics,Coursera,Free,Rutgers the State University of New Jersey,COURSE,Beginner,4.7,112
Marketing Verde,Coursera,Free,Universidad de los Andes,COURSE,Mixed,4.8,1011
Bayesian Statistics: From Concept to Data Analysis,Coursera,Free,"University of California, Santa Cruz",COURSE,Intermediate,4.6,2041
Introduction to Personal Branding,Coursera,Free,University of Virginia,COURSE,Beginner,4.3,2608
Art & Inquiry: Museum Teaching Strategies For Your Classroom,Coursera,Free,The Museum of Modern Art,COURSE,Mixed,4.7,305
L'excellence opÃ©rationnelle en pratique,Coursera,Free,ESSEC Business School,COURSE,Beginner,4.7,162
Stanford's Short Course on Breastfeeding,Coursera,Free,Stanford University,COURSE,Beginner,4.7,621
Sports and Society,Coursera,Free,Duke University,COURSE,Mixed,4.8,491
The Science of Training Young Athletes,Coursera,Free,University of Florida,COURSE,Beginner,4.8,289
Think Again I: How to Understand Arguments,Coursera,Free,Duke University,COURSE,Beginner,4.6,1441
EgiptologÃ­a (Egyptology),Coursera,Free,Universitat AutÃ²noma de Barcelona,COURSE,Beginner,4.9,729
Model Thinking,Coursera,Free,University of Michigan,COURSE,Mixed,4.8,1544
Costos para los Negocios,Coursera,Free,Universidad de Chile,COURSE,Intermediate,4.8,871
Patrocinio Deportivo,Coursera,Free,Universitat AutÃ²noma de Barcelona,COURSE,Beginner,4.6,216
International Security Management,Coursera,Free,Erasmus University Rotterdam,COURSE,Beginner,4.4,47
Introduction to Genetics and Evolution,Coursera,Free,Duke University,COURSE,Mixed,4.8,772
ADHD: Everyday Strategies for Elementary Students,Coursera,Free,The State University of New York,COURSE,Beginner,4.7,986
Social and Economic Networks:  Models and Analysis,Coursera,Free,Stanford University,COURSE,Advanced,4.8,512
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",Coursera,Free,UNSW Sydney (The University of New South Wales),COURSE,Mixed,4.8,326
Feminism and Social Justice,Coursera,Free,"University of California, Santa Cruz",COURSE,Beginner,4.8,567
ActualizaciÃ³n en el manejo del paciente con diabetes mellitus tipo 2,Coursera,Free,Universidad Nacional AutÃ³noma de MÃ©xico,COURSE,Mixed,4.8,304
Renewable Energy and Green Building Entrepreneurship,Coursera,Free,Duke University,COURSE,Beginner,4.7,492
Aprender,Coursera,Free,Universidad Nacional AutÃ³noma de MÃ©xico,COURSE,Mixed,4.8,3047
Microeconomics Principles,Coursera,Free,University of Illinois at Urbana-Champaign,COURSE,Beginner,4.8,1161
Sustainable Tourism â promoting environmental public health,Coursera,Free,University of Copenhagen,COURSE,Beginner,4.6,264
Introduction to Environmental Law and Policy,Coursera,Free,The University of North Carolina at Chapel Hill,COURSE,Mixed,4.8,985
Excel aplicado a los negocios (Nivel Avanzado),Coursera,Free,Universidad Austral,COURSE,Intermediate,4.7,676
Global Environmental Management,Coursera,Free,Technical University of Denmark (DTU),COURSE,Intermediate,4.6,599
Corporate Finance Essentials,Coursera,Free,IESE Business School,COURSE,Mixed,4.8,1357
"Creativity, Innovation, and Change",Coursera,Free,The Pennsylvania State University,COURSE,Mixed,4.4,421
Introduction to Neuroeconomics: How the Brain Makes Decisions,Coursera,Free,National Research University Higher School of Economics,COURSE,Beginner,4.7,1175
ÐÑÐ½Ð¾Ð²Ñ Ð¿ÑÐ¾Ð³ÑÐ°Ð¼Ð¼Ð¸ÑÐ¾Ð²Ð°Ð½Ð¸Ñ Ð½Ð° Python,Coursera,Free,National Research University Higher School of Economics,COURSE,Beginner,4.6,1784
Global Energy and Climate Policy,Coursera,Free,University of London,COURSE,Beginner,4.6,177
A Life of Happiness and Fulfillment,Coursera,Free,Indian School of Business,COURSE,Mixed,4.8,3541
International Cyber Conflicts,Coursera,Free,The State University of New York,COURSE,Mixed,4.4,745
Challenging Forensic Science: How Science Should Speak to Court,Coursera,Free,University of Lausanne,COURSE,Beginner,4.8,87
Age of Cathedrals,Coursera,Free,Yale University,COURSE,Beginner,4.7,184
"Competencias Laborales: Perfiles, EvaluaciÃ³n y CapacitaciÃ³n.",Coursera,Free,Universidad de Chile,COURSE,Intermediate,4.3,212
Smart Cities â Management of Smart Urban Infrastructures,Coursera,Free,Ãcole Polytechnique FÃ©dÃ©rale de Lausanne,COURSE,Beginner,4.6,658
Fundamentos de Excel para Negocios,Coursera,Free,Universidad Austral,COURSE,Beginner,4.7,1930
Systems Thinking In Public Health,Coursera,Free,Johns Hopkins University,COURSE,Mixed,4.6,506
The Cycle: Management of Successful Arts and Cultural Organizations,Coursera,Free,"University of Maryland, College Park",COURSE,Beginner,4.8,288
Claves para la innovaciÃ³n en la docencia universitaria,Coursera,Free,Universitat de Barcelona,COURSE,Mixed,4.8,170
AdministraÃ§Ã£o Financeira,Coursera,Free,Insper,COURSE,Beginner,4.8,265
Periodismo digital y combate a las fake news,Coursera,Free,Universidad Nacional AutÃ³noma de MÃ©xico,COURSE,Beginner,4.9,88
Bugs 101: Insect-Human Interactions,Coursera,Free,University of Alberta,COURSE,Beginner,4.9,233
The Science of Success: What Researchers Know that You Should Know,Coursera,Free,University of Michigan,COURSE,Beginner,4.8,523
Computational Neuroscience,Coursera,Free,University of Washington,COURSE,Beginner,4.7,645
Arts and Culture Strategy,Coursera,Free,National Arts Strategies,COURSE,Mixed,4.6,105
CrÃ©er et dÃ©velopper une startup technologique,Coursera,Free,HEC Paris,COURSE,Mixed,4.6,299
Understanding Plants - Part I: What a Plant Knows,Coursera,Free,Tel Aviv University,COURSE,Beginner,4.8,786
"CorrecciÃ³n, estilo y  variaciones de la lengua espaÃ±ola",Coursera,Free,Universitat AutÃ²noma de Barcelona,COURSE,Beginner,4.6,803
Disaster Preparedness,Coursera,Free,University of Pittsburgh,COURSE,Beginner,4.7,455
Data Analytics for Lean Six Sigma,Coursera,Free,University of Amsterdam,COURSE,Beginner,4.8,1274
Practical Time Series Analysis,Coursera,Free,The State University of New York,COURSE,Intermediate,4.6,855
IntroduÃ§Ã£o Ã  CiÃªncia da ComputaÃ§Ã£o com Python Parte 1,Coursera,Free,Universidade de SÃ£o Paulo,COURSE,Beginner,4.9,3551
Implant Dentistry,Coursera,Free,The University of Hong Kong,COURSE,Mixed,4.9,823
Aboriginal Worldviews and Education,Coursera,Free,University of Toronto,COURSE,Mixed,4.7,87
Write A Feature Length Screenplay For Film Or Television,Coursera,Free,Michigan State University,COURSE,Beginner,,
Teaching Character and Creating Positive Classrooms,Coursera,Free,Relay Graduate School of Education,COURSE,Mixed,4.8,580
The Science of Stem Cells,Coursera,Free,American Museum of Natural History,COURSE,Intermediate,4.7,458
Astrobiology and the Search for Extraterrestrial Life,Coursera,Free,The University of Edinburgh,COURSE,Mixed,4.7,1567
Becoming a changemaker: Introduction to Social Innovation,Coursera,Free,University of Cape Town,COURSE,Beginner,4.8,442
Cuidado de heridas en el Ã¡mbito hospitalario,Coursera,Free,Universidad Nacional AutÃ³noma de MÃ©xico,COURSE,Intermediate,4.8,382
Municipal Solid Waste Management in Developing Countries,Coursera,Free,Ãcole Polytechnique FÃ©dÃ©rale de Lausanne,COURSE,Intermediate,4.8,1698
Sexualidad...mucho mÃ¡s que sexo,Coursera,Free,Universidad de los Andes,COURSE,Beginner,4.8,2720
NegociaciÃ³n 4.0,Coursera,Free,Universidad Austral,COURSE,Beginner,4.8,129
"Sleep: Neurobiology, Medicine, and Society",Coursera,Free,University of Michigan,COURSE,Beginner,4.8,181
CÃ³mo hablar bien en pÃºblico,Coursera,Free,Universitat AutÃ²noma de Barcelona,COURSE,Beginner,4.8,320
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),Coursera,Free,Yale University,COURSE,Beginner,4.7,274
"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",Coursera,Free,Tel Aviv University,COURSE,Mixed,4.8,741
Improving your statistical inferences,Coursera,Free,Eindhoven University of Technology,COURSE,Intermediate,4.9,516
Managing Your Health: The Role of Physical Therapy and Exercise,Coursera,Free,University of Toronto,COURSE,Beginner,4.6,144
Sharpened Visions: A Poetry Workshop,Coursera,Free,California Institute of the Arts,COURSE,Beginner,4.7,840
